,Unnamed: 0,average_minter_speed,beacon_num_trans_threshold,beacon_shout,broadcast_percentage_selection,decision_thres,dspend_all,dspend_main,failed,gini,loser_nodes,majority_threshold,mean_num_transactions,num_minters,num_orphan_transactions,num_users,perc_evil_minters,perc_evil_users,transaction_volume
195,7,917.4260869565218,527,True,0.21454569319251854,0.5000100000000001,3710,0,True,-1.4090529179277584e-17,115,0.2,1382.0,115,2764,1204,0.3701898411533817,0.5558785554254658,0.183503721627382
196,8,1049.9778761061948,114,True,0.0898766278888166,0.5000100000000001,2854,0,True,0.0,226,0.2,1467.0,226,2934,311,0.15221569257910778,0.467314673156135,0.1798320911811552
197,9,1008.2793733681464,180,True,0.19422231515903365,0.5000100000000001,31808,0,True,-5.912929653814556e-17,383,0.2,1879.0,383,3758,937,0.554550495106828,0.5564067704638196,0.19637532362256493
198,10,1009.4831460674158,39,True,0.1635472960537258,0.5144338341688338,3264,0,True,0.0,445,0.2,1522.0,445,3044,960,0.09944273058274136,0.5845307146178269,0.14379862002383564
199,11,994.092391304348,57,True,0.0917827598885159,0.7440990750777697,18956,0,True,0.0,368,0.2,1644.0,368,3288,1326,0.4003575427076509,0.3508323076606035,0.13107837680717144
200,12,948.6296296296297,140,True,0.055851300980336346,0.7369207734288735,776,0,True,-2.582023920909313e-18,81,0.2,902.0,81,1804,797,0.12709560572017298,0.5210449949205197,0.07314508916920391
201,13,979.4120370370372,123,True,0.252779050737999,0.5000100000000001,9330,0,True,0.0,216,0.2,2238.0,216,4476,987,0.23805325466226002,0.006675261962344714,0.15949547271902925
202,14,1008.1724137931036,136,True,0.17084680411590164,0.5000100000000001,2692,0,True,3.5810614760387903e-17,174,0.2,1044.0,174,2088,317,0.26174530226871257,0.19054747143717568,0.0712375834704972
203,15,954.4553571428572,30,True,0.2545331215843233,0.8478669433419955,12122,0,True,0.0,224,0.2,1540.0,224,3080,475,0.4410379146737943,0.2269893330383987,0.09844991106823604
204,16,995.1549893842888,320,True,0.2729958802105001,0.8655786156734203,16314,0,True,0.0,471,0.2,1603.0,471,3206,705,0.2366815099657159,0.4883344438033258,0.0962527040577434
205,17,1001.0631067961164,41,True,0.1293287281051187,0.702280754870052,31772,0,True,-5.1098226622938276e-17,206,0.2,2950.0,206,5900,712,0.5627270258365462,0.1619884099587175,0.17090269007253953
206,18,1078.953125,326,True,0.05858083395333595,0.8239215302678662,4300,0,True,-2.941086622410765e-17,192,0.2,2566.0,192,5132,785,0.09893226674096747,0.2762397004944752,0.14473439215824632
207,0,972.4444444444445,236,True,0.24230875975723154,0.7340205089215271,1908,0,True,-2.974491556887529e-17,135,0.2,80.375,135,643,571,0.2313647483419128,0.13917076183227511,0.12427483450602148
208,1,1102.3636363636363,220,True,0.2955336647061128,0.8038037625870748,407,0,True,0.0,66,0.2,239.33333333333331,66,718,636,0.15331933269905054,0.13119763546899754,0.19489231803104493
209,2,1002.3492063492064,109,True,0.1103953046347802,0.611888758684793,3772,0,True,0.0,378,0.2,105.5,378,422,273,0.30974586532960124,0.5340383255378773,0.05937031304261892
210,3,923.360824742268,170,True,0.20574007621823606,0.8139581082606433,1348,0,True,-2.5206634629737918e-17,97,0.2,240.0,97,720,632,0.3623109402322156,0.262965404551402,0.10273412313323854
211,4,954.4647887323944,526,True,0.2342276229463054,0.8441875586582845,4340,0,True,-7.022916071790125e-17,497,0.2,298.4,497,1492,1312,0.10387129728677308,0.049461833071731416,0.0790688320729778
212,5,971.9730941704036,368,True,0.1840073730021772,0.9252518909782206,12037,0,True,4.3604422871383075e-17,446,0.2,582.3333333333334,446,1747,1440,0.4422295773766273,0.09376631743959818,0.10777590805566946
213,6,987.4384858044164,220,True,0.06248223671561255,0.5000100000000001,330,0,True,4.315704893015173e-17,317,0.2,991.0,317,1982,477,0.022790203275269642,0.55404838952138,0.16598545041030174
214,7,917.4260869565218,527,True,0.21454569319251854,0.5000100000000001,3710,0,True,-1.4090529179277584e-17,115,0.2,1382.0,115,2764,1204,0.3701898411533817,0.5558785554254658,0.183503721627382
215,8,1049.9778761061948,114,True,0.0898766278888166,0.5000100000000001,2854,0,True,0.0,226,0.2,1467.0,226,2934,311,0.15221569257910778,0.467314673156135,0.1798320911811552
216,9,1008.2793733681464,180,True,0.19422231515903365,0.5000100000000001,31808,0,True,-5.912929653814556e-17,383,0.2,1879.0,383,3758,937,0.554550495106828,0.5564067704638196,0.19637532362256493
217,10,1009.4831460674158,39,True,0.1635472960537258,0.5144338341688338,3264,0,True,0.0,445,0.2,1522.0,445,3044,960,0.09944273058274136,0.5845307146178269,0.14379862002383564
