,Unnamed: 0,average_minter_speed,beacon_num_trans_threshold,beacon_shout,broadcast_percentage_selection,decision_thres,dspend_all,dspend_main,failed,gini,loser_nodes,majority_threshold,mean_num_transactions,num_minters,num_orphan_transactions,num_users,perc_evil_minters,perc_evil_users,transaction_volume
0,0,1035.4913793103447,232,True,0.2080820835485111,0.5000100000000001,4132,0,True,-1.3848636176868759e-17,116,0.2,555.0,116,1110,2975,0.5686807489376423,0.38811170320311206,0.15553693962076987
1,1,1009.2335766423356,300,True,0.05101034320715271,0.5000100000000001,63934,0,True,2.888279003904056e-17,274,0.2,8.785714285714286,274,369,863,0.5558808451078759,0.4561824761904234,0.0020560319519544517
0,0,993.4967462039044,286,True,0.20660668366348414,0.6235854769923964,13779,0,True,-4.0812989680474105e-17,922,0.2,143.25,922,573,2388,0.2046456739407109,0.4487872928693396,0.04418191139095913
1,0,961.6687116564417,176,True,0.110339277791471,0.897134165987598,5310,0,True,-8.161407448421124e-17,163,0.2,107.5,163,430,428,0.45115326484699897,0.388485600459756,0.19499568166449704
2,0,961.6687116564417,176,True,0.110339277791471,0.897134165987598,5310,0,True,-8.161407448421124e-17,163,0.2,107.5,163,430,428,0.45115326484699897,0.388485600459756,0.19499568166449704
3,1,972.6629834254144,223,True,0.21051297559675355,0.5000100000000001,3649,0,False,0.8784523159473548,159,0.2,3.88,181,321,650,0.0492491456040695,0.550990699107415,0.0038131455247319094
0,0,926.7738095238096,25,True,0.08979042272941869,0.5000100000000001,828,0,True,0.0,168,0.2,58.0,168,116,419,0.5194191552338424,0.4419493295529088,0.09858464677429774
1,0,926.7738095238096,25,True,0.08979042272941869,0.5000100000000001,828,0,True,0.0,168,0.2,58.0,168,116,419,0.5194191552338424,0.4419493295529088,0.09858464677429774
2,1,996.9714285714284,263,True,0.1076028261768506,0.8121928819464264,95055,0,True,0.0,210,0.2,4.771428571428571,210,334,1022,0.5538181952263959,0.43371486037409546,0.0034286597007554547
3,0,926.7738095238096,25,True,0.08979042272941869,0.5000100000000001,828,0,True,0.0,168,0.2,58.0,168,116,419,0.5194191552338424,0.4419493295529088,0.09858464677429774
4,1,996.9714285714284,263,True,0.1076028261768506,0.8121928819464264,95055,0,True,0.0,210,0.2,4.771428571428571,210,334,1022,0.5538181952263959,0.43371486037409546,0.0034286597007554547
5,2,1003.7142857142856,75,True,0.2641594075086931,0.8562269712530496,544,0,True,-6.829189798976471e-17,252,0.2,355.0,252,710,946,0.09035401817310036,0.09853146302775588,0.13446286065724608
6,0,926.7738095238096,25,True,0.08979042272941869,0.5000100000000001,828,0,True,0.0,168,0.2,58.0,168,116,419,0.5194191552338424,0.4419493295529088,0.09858464677429774
7,1,996.9714285714284,263,True,0.1076028261768506,0.8121928819464264,95055,0,True,0.0,210,0.2,4.771428571428571,210,334,1022,0.5538181952263959,0.43371486037409546,0.0034286597007554547
8,2,1003.7142857142856,75,True,0.2641594075086931,0.8562269712530496,544,0,True,-6.829189798976471e-17,252,0.2,355.0,252,710,946,0.09035401817310036,0.09853146302775588,0.13446286065724608
9,3,1021.1350210970463,644,True,0.07632983333101913,0.7672994901650934,17986,0,True,-3.8605001779825325e-17,237,0.2,602.6666666666666,237,1808,1481,0.4994146750573799,0.3031307758077232,0.13086267098801604
10,0,926.7738095238096,25,True,0.08979042272941869,0.5000100000000001,828,0,True,0.0,168,0.2,58.0,168,116,419,0.5194191552338424,0.4419493295529088,0.09858464677429774
11,1,996.9714285714284,263,True,0.1076028261768506,0.8121928819464264,95055,0,True,0.0,210,0.2,4.771428571428571,210,334,1022,0.5538181952263959,0.43371486037409546,0.0034286597007554547
12,2,1003.7142857142856,75,True,0.2641594075086931,0.8562269712530496,544,0,True,-6.829189798976471e-17,252,0.2,355.0,252,710,946,0.09035401817310036,0.09853146302775588,0.13446286065724608
13,3,1021.1350210970463,644,True,0.07632983333101913,0.7672994901650934,17986,0,True,-3.8605001779825325e-17,237,0.2,602.6666666666666,237,1808,1481,0.4994146750573799,0.3031307758077232,0.13086267098801604
14,4,1026.0579399141632,32,True,0.057659183855815324,0.5000100000000001,17566,0,True,-3.994187303083513e-17,466,0.2,778.0,466,1556,175,0.3789936461234028,0.044946076488222304,0.16979408744421895
15,0,926.7738095238096,25,True,0.08979042272941869,0.5000100000000001,828,0,True,0.0,168,0.2,58.0,168,116,419,0.5194191552338424,0.4419493295529088,0.09858464677429774
16,1,996.9714285714284,263,True,0.1076028261768506,0.8121928819464264,95055,0,True,0.0,210,0.2,4.771428571428571,210,334,1022,0.5538181952263959,0.43371486037409546,0.0034286597007554547
17,2,1003.7142857142856,75,True,0.2641594075086931,0.8562269712530496,544,0,True,-6.829189798976471e-17,252,0.2,355.0,252,710,946,0.09035401817310036,0.09853146302775588,0.13446286065724608
18,3,1021.1350210970463,644,True,0.07632983333101913,0.7672994901650934,17986,0,True,-3.8605001779825325e-17,237,0.2,602.6666666666666,237,1808,1481,0.4994146750573799,0.3031307758077232,0.13086267098801604
19,4,1026.0579399141632,32,True,0.057659183855815324,0.5000100000000001,17566,0,True,-3.994187303083513e-17,466,0.2,778.0,466,1556,175,0.3789936461234028,0.044946076488222304,0.16979408744421895
20,5,948.0833333333335,254,True,0.27634081651283143,0.8816929784332056,2246,0,True,2.205814966808074e-17,48,0.2,1168.0,48,2336,1283,0.3918138605712149,0.251857240603971,0.19090057487908674
0,0,937.62,307,True,0.16299626084914176,0.5000100000000001,3140,0,True,0.0,200,0.2,118.0,200,472,774,0.4854706095333972,0.21054694673483826,0.15324762606132372
1,1,999.7933884297521,43,True,0.2471368690013812,0.5000100000000001,6850,0,True,0.0,605,0.2,529.0,605,1058,1691,0.2572139564265244,0.25735400295444266,0.19010976501685173
2,0,1023.6854663774403,303,True,0.1974806951780786,0.5000100000000001,15917,0,True,0.0,461,0.2,108.2,461,541,653,0.2720761727870811,0.50518168597174,0.13222036991605773
3,0,1023.6854663774403,303,True,0.1974806951780786,0.5000100000000001,15917,0,True,0.0,461,0.2,108.2,461,541,653,0.2720761727870811,0.50518168597174,0.13222036991605773
4,1,1013.2857142857144,192,True,0.18227634565537632,0.5000100000000001,4298,0,True,7.656254307503031e-17,238,0.2,382.0,238,764,1199,0.4848012624182309,0.1600675785844654,0.19259754437858434
0,0,1035.4913793103447,232,True,0.2080820835485111,0.5000100000000001,4132,0,True,-1.3848636176868759e-17,116,0.2,555.0,116,1110,2975,0.5686807489376423,0.38811170320311206,0.15553693962076987
1,1,1009.2335766423356,300,True,0.05101034320715271,0.5000100000000001,63934,0,True,2.888279003904056e-17,274,0.2,8.785714285714286,274,369,863,0.5558808451078759,0.4561824761904234,0.0020560319519544517
0,0,993.4967462039044,286,True,0.20660668366348414,0.6235854769923964,13779,0,True,-4.0812989680474105e-17,922,0.2,143.25,922,573,2388,0.2046456739407109,0.4487872928693396,0.04418191139095913
0,0,937.62,307,True,0.16299626084914176,0.5000100000000001,3140,0,True,0.0,200,0.2,118.0,200,472,774,0.4854706095333972,0.21054694673483826,0.15324762606132372
1,1,999.7933884297521,43,True,0.2471368690013812,0.5000100000000001,6850,0,True,0.0,605,0.2,529.0,605,1058,1691,0.2572139564265244,0.25735400295444266,0.19010976501685173
0,0,2045.2084592145013,15,True,0.17039229077627166,0.5000100000000001,73034,0,False,0.5508741270520763,417,0.2,2.22,993,53,243,0.12949706944705527,0.3640477748086667,0.011470409834560205
1,1,1968.8842443729905,26,True,0.1079219454865268,0.5000100000000001,12490,0,True,0.940512888374953,585,0.2,144.5,622,235,327,0.2775290779074539,0.4245625191660107,0.18863130290174684
0,0,2012.738219895288,60,True,0.1909346005639087,0.6160258325058708,3936,6,True,0.5568776082292379,84,0.2,18.285714285714285,191,107,135,0.2885743494265376,0.006331160189551666,0.13800588136792516
1,1,2022.8535519125683,56,True,0.15234776338628914,0.94991948119558,3159,0,True,0.0,915,0.2,16.6,915,83,375,0.4543938503545394,0.16103187265404334,0.03991682859319808
2,2,2010.4808743169397,255,True,0.2672615956721929,0.5848788049437459,6468,0,True,0.0,183,0.2,48.5,183,388,729,0.3833335532502756,0.5441449695159752,0.03562610051546311
3,3,1986.8401486988848,164,True,0.12805936846793664,0.5000100000000001,3954,0,True,0.0,269,0.2,220.0,269,440,417,0.5607718173825059,0.4146614036458694,0.11271273866352738
0,0,1903.7764705882355,11,True,0.06014506118936351,0.8770939047263441,12,0,True,0.9352926721947477,159,0.2,16.0,170,20,130,0.051688352761134385,0.2803810582713094,0.12267414572520967
1,1,1918.0425531914893,64,True,0.11295224870794035,0.5000100000000001,0,0,False,-7.668926638789502e-18,47,0.2,0.09,47,9,190,0.39092263361034985,0.13279361644226068,0.0012012134614098225
2,2,2052.95,30,True,0.2495754131025651,0.9590147489727014,176,0,True,0.0,160,0.2,73.0,160,146,157,0.3676213239695783,0.09930908292822553,0.150744014152141
